date,close
1-May-12,582.13
30-Apr-12,583.98
27-Apr-12,603.00
26-Apr-12,607.70
25-Apr-12,610.00
24-Apr-12,560.28
23-Apr-12,571.70
20-Apr-12,572.98
19-Apr-12,587.44
18-Apr-12,608.34
17-Apr-12,609.70
16-Apr-12,580.13
13-Apr-12,605.23
12-Apr-12,622.77
11-Apr-12,626.20
10-Apr-12,628.44
9-Apr-12,636.23
5-Apr-12,633.68
4-Apr-12,624.31
3-Apr-12,629.32
2-Apr-12,618.63
30-Mar-12,599.55
29-Mar-12,609.86
28-Mar-12,617.62
27-Mar-12,614.48
26-Mar-12,606.98
23-Mar-12,596.05
22-Mar-12,599.34
21-Mar-12,602.50
20-Mar-12,605.96
19-Mar-12,601.10
16-Mar-12,585.57
15-Mar-12,585.56
14-Mar-12,589.58
13-Mar-12,568.10
12-Mar-12,552.00
9-Mar-12,545.17
8-Mar-12,541.99
7-Mar-12,530.69
6-Mar-12,530.26
5-Mar-12,533.16
2-Mar-12,545.18
1-Mar-12,544.47
29-Feb-12,542.44
28-Feb-12,535.41
27-Feb-12,525.76
24-Feb-12,522.41
23-Feb-12,516.39
22-Feb-12,513.04
21-Feb-12,514.85
17-Feb-12,502.12
16-Feb-12,502.21
15-Feb-12,497.67
14-Feb-12,509.46
13-Feb-12,502.60
10-Feb-12,493.42
9-Feb-12,493.17
8-Feb-12,476.68
7-Feb-12,468.83
6-Feb-12,463.97
3-Feb-12,459.68
2-Feb-12,455.12
1-Feb-12,456.19
31-Jan-12,456.48
30-Jan-12,453.01
27-Jan-12,447.28
26-Jan-12,444.63
25-Jan-12,446.66
24-Jan-12,420.41
23-Jan-12,427.41
20-Jan-12,420.30
19-Jan-12,427.75
18-Jan-12,429.11
17-Jan-12,424.70
13-Jan-12,419.81
12-Jan-12,421.39
11-Jan-12,422.55
10-Jan-12,423.24
9-Jan-12,421.73
6-Jan-12,422.40
5-Jan-12,418.03
4-Jan-12,413.44
3-Jan-12,411.23
